name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Houston,TX",2007-01-11,72.6,50.5,62.1,72.6,50.5,62.1,55.1,79,0.005,100,4.17,rain,0,0,,16.7,151.6,1021,64.7,9.5,,,,,2007-01-11T07:18:04,2007-01-11T17:40:54,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72254312977,72242953910,72242712975,72252712976,72244453902,72244012918,72243012960"
"Houston,TX",2007-01-12,78.4,66.8,71,78.4,66.8,71,63.3,77.5,0,0,0,,0,0,,15.7,153.1,1020.1,92.7,9.6,,,,,2007-01-12T07:18:01,2007-01-12T17:41:43,0.79,Overcast,Cloudy skies throughout the day.,cloudy,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-01-13,75,64.4,71,75,64.4,71,65.9,83.9,0.103,100,33.33,rain,0,0,,15.4,154.7,1018.8,99.6,7.6,,,,,2007-01-13T07:17:57,2007-01-13T17:42:33,0.83,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-01-14,72.7,51.9,61.2,72.7,51.9,61.2,58.1,89.8,0.241,100,62.5,rain,0,0,,12.8,256.7,1016.8,99.9,4.9,,,,,2007-01-14T07:17:52,2007-01-14T17:43:23,0.86,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-01-15,47.8,35.3,39.4,42.1,24.5,30.8,34.6,83.1,0.69,100,50,rain,0,0,31.1,19.1,345.8,1024.1,99.8,6.9,,,,,2007-01-15T07:17:44,2007-01-15T17:44:14,0.89,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-01-16,36.9,33.2,34.8,28.3,22.8,25.2,25.7,69.3,0.063,100,25,"rain,snow",0,0,30,18.5,3.6,1032.6,99.6,9.7,,,,,2007-01-16T07:17:35,2007-01-16T17:45:05,0.92,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-01-17,37.3,32.8,34.9,36.9,23.2,28.9,29.9,81.8,0.107,100,37.5,"rain,snow",0,0,,13.4,10.5,1032.7,99.8,9.4,,,,,2007-01-17T07:17:25,2007-01-17T17:45:56,0.95,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-01-18,44.1,36.8,40.5,40.7,31.6,36.4,37.5,89.1,0.199,100,70.83,rain,0,0,,8.8,3.7,1028.5,100,4.5,,,,,2007-01-18T07:17:13,2007-01-18T17:46:48,0,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72254312977,72242953910,72242712975,72252712976,72244453902,72244012918,72243012960"
"Houston,TX",2007-01-19,49.8,43.7,46.3,45.7,37.4,41.2,40.4,80,0.019,100,25,rain,0,0,,14.1,24.9,1027.5,99.9,8.4,,,,,2007-01-19T07:16:59,2007-01-19T17:47:40,0.02,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-01-20,54.3,46,50,54.3,40.6,47.5,44,80.3,0.296,100,41.67,rain,0,0,,14.6,85.6,1019.2,99.8,6.8,,,,,2007-01-20T07:16:43,2007-01-20T17:48:32,0.06,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-01-21,60.2,47.8,52.4,60.2,44.8,51.9,46.6,81.4,0.189,100,45.83,rain,0,0,,9.1,74,1015,77.6,9.1,,,,,2007-01-21T07:16:26,2007-01-21T17:49:24,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-01-22,53.8,47.1,50.9,53.8,41.9,49.7,41.8,71.4,0,0,0,,0,0,,16,5.1,1020.2,79.2,9.8,,,,,2007-01-22T07:16:07,2007-01-22T17:50:16,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-01-23,46.1,43,44.8,40.9,36.7,39.2,37.5,75.8,0.74,100,62.5,rain,0,0,,15.2,18.2,1022,97.8,7.8,,,,,2007-01-23T07:15:47,2007-01-23T17:51:08,0.16,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72254312977,72242953910,72242712975,72252712976,72244453902,72244012918,72243012960"
"Houston,TX",2007-01-24,46.3,42.5,44,45,36.4,39.8,39.8,85,1.036,100,75,rain,0,0,,11.3,355.6,1024,91,6.1,,,,,2007-01-24T07:15:25,2007-01-24T17:52:00,0.2,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-01-25,64.5,38.8,50.1,64.5,35.3,48.7,37,64.1,0,0,0,,0,0,,8.3,349.1,1026.8,13.2,9.8,,,,,2007-01-25T07:15:01,2007-01-25T17:52:52,0.25,Clear,Clear conditions throughout the day.,clear-day,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-01-26,62.6,37.6,50.6,62.6,37.6,50.5,40.6,70.5,0,0,0,,0,0,,11,119.9,1022.7,37.2,9.8,,,,,2007-01-26T07:14:36,2007-01-26T17:53:44,0.27,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72254312977,72242953910,72242712975,72252712976,72244453902,72244012918,72243012960"
"Houston,TX",2007-01-27,65.3,53.1,57.4,65.3,53.1,57.4,51.6,81.6,0.687,100,41.67,rain,0,0,,15.7,10,1015.6,74.8,6.8,,,,,2007-01-27T07:14:10,2007-01-27T17:54:36,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-01-28,54.4,40.5,47.2,54.4,34.6,43.9,29.3,51.5,0,0,0,,0,0,,16.4,345.1,1025.8,29.7,9.9,,,,,2007-01-28T07:13:41,2007-01-28T17:55:28,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-01-29,54.9,35.8,45.8,54.9,30.1,44.2,34,63.7,0,0,0,,0,0,,11.8,99,1024.9,66.8,9.9,,,,,2007-01-29T07:13:12,2007-01-29T17:56:20,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-01-30,51.9,45.8,49.5,51.9,42,47,44.7,83.8,0.183,100,37.5,rain,0,0,,14.6,44,1022.3,93.4,7.2,,,,,2007-01-30T07:12:41,2007-01-30T17:57:12,0.41,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-01-31,48.2,42.9,45.1,43.3,38,40.4,39.8,81.9,0.16,100,41.67,rain,0,0,,12.6,58.7,1017.5,89.9,7.8,,,,,2007-01-31T07:12:08,2007-01-31T17:58:04,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-02-01,55.3,43.4,48.7,55.3,39,46.8,44.6,85.8,0.074,100,25,rain,0,0,,9.3,45,1008.9,95.7,6.6,,,,,2007-02-01T07:11:34,2007-02-01T17:58:55,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-02-02,50.6,39.9,46,50.6,35.1,41.7,37.8,73.9,0,0,0,,0,0,,14.6,347.3,1018.3,76.9,9.5,,,,,2007-02-02T07:10:58,2007-02-02T17:59:46,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-02-03,52.1,34.6,42.8,52.1,30,40.4,31.9,66.7,0,0,0,,0,0,,7.4,107.5,1027.2,62.3,9.5,,,,,2007-02-03T07:10:21,2007-02-03T18:00:37,0.55,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-02-04,63.2,39.3,49.6,63.2,36.2,49.3,40.8,74.1,0,0,0,,0,0,,6.5,124.2,1028,56.3,8.8,,,,,2007-02-04T07:09:43,2007-02-04T18:01:27,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-02-05,65.9,39.3,51.2,65.9,38.3,51.1,38.2,66.2,0,0,0,,0,0,,8.4,115.4,1029.8,47.2,8,,,,,2007-02-05T07:09:03,2007-02-05T18:02:18,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-02-06,69.9,41.5,55.5,69.9,41.5,55.5,48.2,78,0,0,0,,0,0,,13.6,163.6,1026.8,50.7,9.3,,,,,2007-02-06T07:08:22,2007-02-06T18:03:08,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-02-07,73.3,48.1,61.8,73.3,48.1,61.8,56.5,83.9,0.008,100,12.5,rain,0,0,,11.3,177.3,1020.6,52.8,7.2,,,,,2007-02-07T07:07:40,2007-02-07T18:03:57,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72254312977,72242953910,72242712975,72252712976,72244453902,72244012918,72243012960"
"Houston,TX",2007-02-08,74.5,59.5,66.5,74.5,59.5,66.5,60.3,81.5,0.012,100,12.5,rain,0,0,,10.2,185.6,1019.8,87.7,8.1,,,,,2007-02-08T07:06:56,2007-02-08T18:04:47,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72254312977,72242953910,72242712975,72252712976,72244453902,72244012918,72243012960"
"Houston,TX",2007-02-09,58.9,47.9,53.9,58.9,42.5,53.1,49,83.7,0.005,100,8.33,rain,0,0,,14,358.1,1021.9,99.5,6.2,,,,,2007-02-09T07:06:11,2007-02-09T18:05:36,0.74,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-02-10,49.2,43.9,46.2,45.9,38.2,41.8,36.9,69.9,0,0,0,,0,0,,12.4,22.1,1025.4,99.1,9.5,,,,,2007-02-10T07:05:25,2007-02-10T18:06:25,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-02-11,55.2,46.4,50.6,55.2,42.4,49.2,41.6,71.3,0,0,0,,0,0,,10,78.9,1022.5,100,9.8,,,,,2007-02-11T07:04:37,2007-02-11T18:07:13,0.81,Overcast,Cloudy skies throughout the day.,cloudy,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-02-12,68.3,56.6,63.6,68.3,56.6,63.6,60.1,88.7,0.768,100,41.67,rain,0,0,,14,164.5,1012.7,93.4,7.8,,,,,2007-02-12T07:03:49,2007-02-12T18:08:01,0.84,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72254312977,72242953910,72242712975,72252712976,72244453902,72244012918,72243012960"
"Houston,TX",2007-02-13,62.8,41.9,54.3,62.8,33.8,52.8,45.5,73,0.003,100,8.33,rain,0,0,31.1,20.1,324,1012.8,41.2,9.2,,,,,2007-02-13T07:02:59,2007-02-13T18:08:48,0.87,"Rain, Partially cloudy",Becoming cloudy in the afternoon with morning rain.,rain,"72254312977,72242953910,72242712975,72252712976,72244453902,72244012918,72243012960"
"Houston,TX",2007-02-14,46.3,37.7,40.7,41.6,28.9,33.5,28.1,61,0,0,0,,0,0,,18.1,5.1,1020.9,80.4,9.8,,,,,2007-02-14T07:02:08,2007-02-14T18:09:36,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-02-15,46.3,33,38.7,40.5,23.1,31.6,25.4,59.3,0,0,0,,0,0,,15.6,349.3,1026.4,51.9,9.8,,,,,2007-02-15T07:01:16,2007-02-15T18:10:22,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-02-16,48.9,27.4,37.3,46.5,19.9,32.3,21.8,54.9,0,0,0,,0,0,,11,263.3,1026.9,3.5,9.9,,,,,2007-02-16T07:00:23,2007-02-16T18:11:09,0.97,Clear,Clear conditions throughout the day.,clear-day,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-02-17,65.8,35.1,50.4,65.8,34.1,49.7,29.5,52,0,0,0,,0,0,36.4,20.1,324.4,1023.2,9.4,9.6,,,,,2007-02-17T06:59:29,2007-02-17T18:11:55,0,Clear,Clear conditions throughout the day.,clear-day,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-02-18,61.3,37.5,49.7,61.3,35.4,48.3,26.5,43,0,0,0,,0,0,,8.6,145.1,1029.6,17.7,9.9,,,,,2007-02-18T06:58:34,2007-02-18T18:12:41,0.04,Clear,Clear conditions throughout the day.,clear-day,"72254312977,72242953910,72242712975,72252712976,72244453902,72244012918,72243012960"
"Houston,TX",2007-02-19,69.3,41.5,58,69.3,40.3,57.6,47.4,68.5,0,0,0,,0,0,,17.8,177.5,1019.2,61.3,9.9,,,,,2007-02-19T06:57:38,2007-02-19T18:13:26,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72254312977,72242953910,72242712975,72252712976,72244453902,72244012918,72243012960"
"Houston,TX",2007-02-20,72.7,62.4,66.4,72.7,62.4,66.4,59.9,80,0.001,100,4.17,rain,0,0,,12.7,190.7,1013.7,82.1,9.3,,,,,2007-02-20T06:56:41,2007-02-20T18:14:11,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72254312977,72242953910,72242712975,72252712976,72244453902,72244012918,72243012960"
"Houston,TX",2007-02-21,80.4,62.3,68.8,80,62.3,68.8,57.6,71,0.09,100,29.17,rain,0,0,,13.3,208.3,1016.5,47.1,9.2,,,,,2007-02-21T06:55:43,2007-02-21T18:14:55,0.14,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-02-22,79.3,58.1,65.7,79.3,58.1,65.7,57.4,78.4,0.003,100,8.33,rain,0,0,,12.1,137.5,1020.3,71.1,5.6,,,,,2007-02-22T06:54:44,2007-02-22T18:15:39,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-02-23,68.9,58.7,63.4,68.9,58.7,63.4,59.8,88.1,0.007,100,8.33,rain,0,0,33.3,19.2,126.8,1015.4,100,5.3,,,,,2007-02-23T06:53:44,2007-02-23T18:16:23,0.21,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-02-24,78.5,61.7,71.4,78.5,61.7,71.4,56.7,66.9,0.116,100,58.33,rain,0,0,32.2,18.8,200.6,1006.4,85.5,7.1,,,,,2007-02-24T06:52:43,2007-02-24T18:17:06,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-02-25,70.9,50.8,59.4,70.9,50.8,59.4,33,38.7,0,0,0,,0,0,,14.4,315.3,1014,38.7,9.7,,,,,2007-02-25T06:51:42,2007-02-25T18:17:49,0.28,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-02-26,79,45.9,62.2,79,45.1,62.1,46.5,61.9,0,0,0,,0,0,,14.2,213.5,1010,30.6,9.3,,,,,2007-02-26T06:50:40,2007-02-26T18:18:31,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-02-27,80.9,55.1,66.5,81.3,55.1,66.5,59.3,80,0.016,100,16.67,rain,0,0,,13.9,153.1,1012,63.4,5.5,,,,,2007-02-27T06:49:37,2007-02-27T18:19:14,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-02-28,75.7,65.5,70.6,75.7,65.5,70.6,64.9,82.3,0,0,0,,0,0,,14.9,157.2,1007.4,98.9,5.6,,,,,2007-02-28T06:48:33,2007-02-28T18:19:55,0.39,Overcast,Cloudy skies throughout the day.,cloudy,"72254312977,72242953910,72242712975,72252712976,72244453902,72244012918,72243012960"
"Houston,TX",2007-03-01,76.3,53.2,70.2,76.3,53.2,70.2,44.4,48.8,0.006,100,8.33,rain,0,0,36.5,23.8,306,1004.8,70.8,9,,,,,2007-03-01T06:47:29,2007-03-01T18:20:37,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"72254312977,72242953910,72242712975,72252712976,72244453902,72244012918,72243012960"
"Houston,TX",2007-03-02,73,44.5,58.8,73,44.5,58.8,35.1,45.5,0,0,0,,0,0,,9.1,212.8,1012.2,50.9,9.9,,,,,2007-03-02T06:46:24,2007-03-02T18:21:18,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72254312977,72242953910,72242712975,72252712976,72244453902,72244012918,72243012960"
"Houston,TX",2007-03-03,65.7,46.4,56.7,65.7,43.2,56.5,28.7,38.4,0,0,0,,0,0,,14,358,1019.4,46.1,9.9,,,,,2007-03-03T06:45:18,2007-03-03T18:21:59,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-03-04,62.3,41.6,51.2,62.3,36.2,48.9,18,28.9,0,0,0,,0,0,,15.5,348.5,1030.8,13.8,9.9,,,,,2007-03-04T06:44:12,2007-03-04T18:22:39,0.53,Clear,Clear conditions throughout the day.,clear-day,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-03-05,66.8,34.8,51,66.8,34.8,50.8,25.8,44.4,0,0,0,,0,0,,5.6,199.1,1031.2,4.3,9.9,,,,,2007-03-05T06:43:05,2007-03-05T18:23:19,0.56,Clear,Clear conditions throughout the day.,clear-day,"72254312977,72242953910,72242712975,72252712976,72244453902,72244012918,72243012960"
"Houston,TX",2007-03-06,69.1,39.2,54.2,69.1,39.2,54.2,37.4,57.6,0,0,0,,0,0,,11.9,153.5,1027.5,35.6,9.9,,,,,2007-03-06T06:41:58,2007-03-06T18:23:59,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72254312977,72242953910,72242712975,72252712976,72244453902,72244012918,72243012960"
"Houston,TX",2007-03-07,72.9,44.9,59,72.9,44,58.8,46.8,66.9,0,0,0,,0,0,,10.2,158.6,1022.4,39.6,9.8,,,,,2007-03-07T06:40:50,2007-03-07T18:24:38,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72254312977,72242953910,72242712975,72252712976,72244453902,72244012918,72243012960"
"Houston,TX",2007-03-08,73.3,48.8,61.2,73.3,48.8,61.2,49.3,68.7,0,0,0,,0,0,,10.5,141.7,1019.8,36.6,8.4,,,,,2007-03-08T06:39:41,2007-03-08T18:25:17,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72254312977,72242953910,72242712975,72252712976,72244453902,72244012918,72243012960"
"Houston,TX",2007-03-09,76.4,53,64.8,76.4,53,64.8,56.6,76.7,0,0,0,,0,0,,12.2,165.5,1018.1,60,9,,,,,2007-03-09T06:38:32,2007-03-09T18:25:56,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-03-10,80.7,58.7,68.3,81,58.7,68.3,59,75.2,0.008,100,12.5,rain,0,0,,10.2,192.9,1019.4,61.8,7.1,,,,,2007-03-10T06:37:23,2007-03-10T18:26:35,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-03-11,74.4,57.8,66.3,74.4,57.8,66.3,59.1,79.2,0.008,100,12.5,rain,0,0,,14.8,114.9,1019.6,68.1,7.3,,,,,2007-03-11T07:36:13,2007-03-11T19:27:13,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-03-12,71.9,61.7,67.2,71.9,61.7,67.2,62.1,84.3,1.404,100,41.67,rain,0,0,39.8,19.1,153,1018.2,87.4,8.5,,,,,2007-03-12T07:35:03,2007-03-12T19:27:51,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72254312977,72242953910,72242712975,72252712976,72244453902,72244012918,72243012960"
"Houston,TX",2007-03-13,73.3,60,66.2,73.3,60,66.2,61.8,86.5,0.433,100,45.83,rain,0,0,38,12.4,107,1019.6,85.8,6.2,,,,,2007-03-13T07:33:53,2007-03-13T19:28:29,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72254312977,72242953910,72242712975,72252712976,72244453902,72244012918,72243012960"
"Houston,TX",2007-03-14,65.8,60.4,62.3,65.8,60.4,62.3,58.3,86.9,3.107,100,87.5,rain,0,0,41.4,17.3,108,1013.7,90.5,8.3,,,,,2007-03-14T07:32:42,2007-03-14T19:29:07,0.85,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-03-15,78.7,58,65.9,78.7,58,65.9,57.9,77.7,0.027,100,12.5,rain,0,0,,9.4,41.5,1013.5,52.1,7.3,,,,,2007-03-15T07:31:31,2007-03-15T19:29:44,0.89,"Rain, Partially cloudy",Clearing in the afternoon with rain clearing later.,rain,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
"Houston,TX",2007-03-16,70.6,60.3,64.9,70.6,60.3,64.9,56.7,75.8,0.004,100,8.33,rain,0,0,,17.5,344.4,1020.2,32.3,8.7,,,,,2007-03-16T07:30:20,2007-03-16T19:30:22,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72254312977,72242953910,72242712975,72244453902,72244012918,72243012960"
